date,num
19,48
20,24
21,11
22,56
23,90
24,64
25,89
26,64
27,38
28,70
26,59
27,24
28,14
29,64
30,42
01,7
02,35
03,71
17,86
18,60
19,10
20,74
21,77
22,58
23,91
24,15
25,82
26,92
27,71
26,35
27,48
28,71
29,90
30,23
01,79
02,54
03,98
25,56
26,10
27,71
28,89
29,10
30,82
01,57
02,34
03,9
04,72
05,65
10,55
11,84
12,0
13,61
14,98
15,57
16,42
17,96
18,39
19,54
20,11
21,68
02,80
03,42
04,60
05,89
06,51
07,93
08,71
09,11
10,60
01,71
02,95
03,85
04,5
05,33
06,60
07,70
08,33
09,70
10,20
11,64
29,85
30,93
01,17
02,67
03,54
04,97
05,26
06,45
07,54
08,8
28,57
29,19
30,71
31,4
01,0
02,65
03,99
04,81
05,86
20,84
21,53
22,61
23,94
24,17
25,88
26,82
27,35
28,11
29,22
30,74
10,11
11,54
12,50
13,48
14,50
15,72
16,75
17,14
18,36
19,30
14,45
15,16
16,37
17,78
18,1
19,10
20,40
21,28
22,3
11,66
12,58
13,65
14,36
15,16
16,21
17,96
18,59
19,62
20,25
21,44
01,70
02,60
03,31
04,17
05,76
06,93
07,23
08,64
09,48
10,21
27,8
28,22
29,87
30,28
31,62
29,97
30,35
31,15
01,55
02,48
03,56
04,59
05,38
06,23
04,87
05,79
06,68
07,55
08,37
09,37
10,49
11,12
12,10
28,40
29,34
30,98
31,35
01,16
02,19
03,70
04,22
05,9
06,56
07,7
04,37
05,64
06,71
07,19
08,14
09,1
10,35
11,15
12,36
06,91
07,14
08,97
09,59
10,18
11,10
12,63
13,57
14,58
15,99
16,57
22,37
23,59
24,89
25,76
26,43
27,47
28,1
29,1
30,53
31,72
11,92
12,92
13,2
14,77
15,32
16,52
17,78
18,54
19,1
12,61
13,95
14,80
15,42
16,55
17,70
18,29
19,31
20,91
21,66
22,36
09,46
10,25
11,23
12,63
13,6
14,53
15,34
16,94
17,69
18,36
06,67
07,52
08,25
09,75
10,15
11,12
12,96
13,13
31,84
01,41
02,67
03,76
04,93
05,55
06,9
07,68
08,12
09,41
10,74
20,41
21,82
22,1
23,76
24,98
25,97
26,69
27,69
28,39
23,61
24,33
25,44
26,64
27,1
28,33
29,62
30,70
01,68
02,98
22,39
23,70
24,29
25,82
26,9
27,95
28,31
29,97
30,64
31,19
01,42
11,82
12,41
13,3
14,17
15,73
16,91
17,66
18,90
19,89
07,57
08,92
09,55
10,54
11,43
12,7
13,11
14,95
15,56
16,9
17,75
18,53
13,88
14,93
15,90
16,56
17,45
18,5
19,5
20,78
21,8
08,32
09,11
10,50
11,26
12,46
13,85
14,41
15,17
16,95
13,67
14,67
15,52
16,92
17,66
18,58
19,67
20,32
21,42
22,78
17,52
18,12
19,59
20,76
21,47
22,92
23,2
01,50
02,43
03,63
04,8
05,3
06,18
07,39
08,84
20,14
21,86
22,73
23,29
24,10
25,26
26,44
27,53
28,29
29,95
30,67
01,26
23,8
24,42
25,88
26,42
27,56
28,37
29,91
30,83
01,82
02,30
19,75
20,16
21,5
22,34
23,18
24,62
25,50
26,28
27,3
28,81
14,64
15,15
16,73
17,48
18,16
19,72
20,66
21,68
22,60
23,51
24,78
25,76
11,33
12,34
13,67
14,73
15,43
16,6
17,10
18,71
19,74
29,55
30,9
31,55
03,43
04,52
05,9
06,36
07,55
08,88
09,82
10,77
11,9
12,61
13,32
14,29
02,73
03,37
04,88
05,59
06,77
07,65
08,56
09,15
10,74
20,99
21,85
22,83
23,66
24,26
25,47
26,60
27,35
28,66
29,72
30,86
19,35
20,20
21,30
22,17
23,16
24,58
25,14
26,70
27,84
22,59
23,3
24,54
25,27
26,47
27,65
28,13
29,57
30,87
31,81
01,76
02,70
17,61
18,89
19,48
20,11
21,16
22,38
23,47
24,1
23,28
24,95
25,70
26,9
27,15
28,82
29,94
30,32
31,8
01,41
02,51
03,12
24,18
25,29
26,22
27,13
28,48
29,84
30,45
31,51
01,31
02,28
09,32
10,71
11,1
12,83
13,48
14,30
15,58
16,92
17,45
18,5
02,55
03,25
04,4
05,67
06,42
07,96
08,23
09,2
10,29
11,32
12,86
13,80
03,19
04,71
05,94
06,32
07,30
08,93
09,49
10,69
11,9
29,9
30,49
31,87
01,17
02,52
03,55
04,90
05,74
06,84
26,93
27,29
28,71
29,69
30,44
01,31
02,47
03,15
04,83
20,8
21,40
22,55
23,63
24,69
25,77
26,61
15,70
16,52
17,12
18,22
19,68
20,44
21,62
22,1
11,44
12,60
13,65
14,16
15,79
16,3
17,53
01,90
02,51
03,74
04,35
05,45
06,21
07,29
08,44
28,76
29,9
30,33
01,33
02,20
03,70
04,31
03,94
04,68
05,77
06,0
07,49
08,86
09,66
10,13
25,30
26,1
27,39
28,40
29,43
30,27
01,0
02,96
04,97
05,82
06,30
07,32
08,86
09,59
10,50
11,21
03,16
04,5
05,9
06,33
07,50
08,37
09,2
10,94
19,32
20,94
21,42
22,42
23,55
24,39
25,82
14,60
15,4
16,48
17,53
18,41
19,73
20,54
21,10
12,1
13,13
14,24
15,17
16,34
17,75
18,21
07,45
08,27
09,36
10,2
11,96
12,52
13,63
05,20
06,75
07,10
08,91
09,7
10,68
11,20
27,54
28,78
29,51
30,68
01,94
02,52
03,71
04,9
23,34
24,23
25,87
26,5
27,8
28,35
29,16
18,85
19,90
20,81
21,81
22,86
23,52
24,80
09,90
10,60
11,93
12,76
13,90
14,77
15,65
05,35
06,24
07,73
08,92
09,67
10,34
11,38
12,39
11,56
12,18
13,99
14,19
15,4
16,1
17,96
18,96
03,6
04,50
05,57
06,37
07,45
08,65
09,77
10,97
12,87
13,24
14,2
15,85
16,46
17,62
18,47
19,47
11,64
12,85
13,72
14,56
15,23
16,67
17,64
18,90
26,24
27,96
28,17
29,86
30,36
01,22
02,22
03,46
22,27
23,57
24,85
25,61
26,90
27,5
28,71
29,31
19,60
20,96
21,56
22,56
23,80
24,98
25,44
14,82
15,49
16,14
17,11
18,5
19,51
20,9
12,75
13,10
14,95
15,99
16,43
17,62
18,6
05,47
06,48
07,27
08,85
09,62
10,42
11,77
12,3
30,87
31,6
01,18
02,6
03,7
04,13
05,26
06,69
25,91
26,96
27,79
28,82
29,17
30,3
01,91
02,85
16,35
17,7
18,70
19,81
20,39
21,39
22,94
23,86
24,1
25,96
13,15
14,17
15,13
16,25
17,2
18,98
19,98
20,47
21,95
22,96
23,8
24,60
19,85
20,93
21,94
22,94
23,54
24,80
25,61
26,82
11,3
12,71
13,87
14,66
15,42
16,76
17,1
18,36
19,17
20,53
20,38
21,69
22,46
23,92
24,68
25,36
26,17
19,2
20,25
21,53
22,96
23,86
24,64
25,83
26,62
27,18
28,95
29,65
04,35
05,81
06,18
07,91
08,0
09,73
10,49
11,45
12,2
13,65
14,20
30,53
31,94
01,2
02,54
03,65
04,48
05,72
06,82
07,66
26,23
27,70
28,95
29,14
30,94
31,66
01,13
02,41
03,64
04,53
21,58
22,82
23,99
24,82
25,59
26,24
27,71
28,60
29,56
19,20
20,63
21,0
22,26
23,69
24,44
25,46
26,56
13,85
14,11
15,13
16,53
17,99
18,47
19,30
20,0
07,86
08,71
09,36
10,97
11,57
12,20
13,91
14,3
15,54
03,42
04,45
05,48
06,85
07,97
08,24
09,99
10,69
11,88
26,67
27,5
28,10
29,21
30,39
31,97
01,43
02,4
03,41
25,75
26,44
27,30
28,88
29,33
30,63
31,43
01,63
02,54
27,38
28,31
29,93
30,5
01,6
02,3
03,44
04,36
21,34
22,50
23,52
24,29
25,11
26,86
27,44
28,81
27,45
28,90
29,59
30,40
01,99
02,34
03,62
04,65
30,96
01,50
02,86
03,16
04,67
05,0
06,58
07,23
08,29
15,61
16,88
17,64
18,65
19,93
20,7
21,74
22,74
23,9
24,11
08,13
09,67
10,8
11,61
12,47
13,7
14,46
15,84
16,69
05,10
06,42
07,38
08,21
09,68
10,5
11,62
30,93
31,17
01,86
02,36
03,86
04,55
05,79
06,54
